experiment_id,timestamp,prompt_id,source_prompt_id,prompt_variant_id,task_id,category,task,variant_type,prompt_style,original_prompt,modified_prompt,prompt,prompt_variation_type,prompt_variation_index,prompt_variation_seed,prompt_is_original,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,image_path,execution_time_seconds,inference_time_seconds,image_save_time_seconds,peak_vram_mb,peak_allocated_vram_mb,peak_reserved_vram_mb,status,error_message,image_filename,resolved_image_path,image_exists,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
20260723_024622,2026-07-23T02:46:43,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,42,P001_pv00_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv00_w512_h512_seed42.png,12.647612,12.256481,0.391124,1548.639,1548.639,1946.0,generated,,P001_pv00_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_024622/P001_pv00_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_024622,2026-07-23T02:46:58,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,43,P001_pv00_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv00_w512_h512_seed43.png,15.494757,15.294669,0.200084,1548.639,1548.639,1946.0,generated,,P001_pv00_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_024622/P001_pv00_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_024622,2026-07-23T02:47:14,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,44,P001_pv00_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv00_w512_h512_seed44.png,5.518658,5.354527,0.164128,1548.639,1548.639,1946.0,generated,,P001_pv00_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_024622/P001_pv00_w512_h512_seed44.png,True,male,white,yes,yes,male,caucasian
20260723_024622,2026-07-23T02:47:20,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,42,P001_pv01_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv01_w512_h512_seed42.png,4.78819,4.534658,0.253528,1548.639,1548.639,1946.0,generated,,P001_pv01_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_024622/P001_pv01_w512_h512_seed42.png,True,female,asian,yes,yes,female,asian
20260723_024622,2026-07-23T02:47:25,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,43,P001_pv01_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv01_w512_h512_seed43.png,4.735965,4.365026,0.370935,1548.639,1548.639,1946.0,generated,,P001_pv01_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_024622/P001_pv01_w512_h512_seed43.png,True,female,white,yes,yes,female,caucasian
20260723_024622,2026-07-23T02:47:30,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,44,P001_pv01_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv01_w512_h512_seed44.png,4.930256,4.682013,0.24824,1548.639,1548.639,1946.0,generated,,P001_pv01_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_024622/P001_pv01_w512_h512_seed44.png,True,female,asian,yes,yes,female,asian
20260723_024622,2026-07-23T02:47:35,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,42,P001_pv02_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv02_w512_h512_seed42.png,5.195328,4.971934,0.223391,1548.639,1548.639,1946.0,generated,,P001_pv02_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_024622/P001_pv02_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_024622,2026-07-23T02:47:41,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,43,P001_pv02_w512_h512_seed43,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv02_w512_h512_seed43.png,5.340046,5.119402,0.220639,1548.639,1548.639,1946.0,generated,,P001_pv02_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_024622/P001_pv02_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_024622,2026-07-23T02:47:46,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,44,P001_pv02_w512_h512_seed44,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv02_w512_h512_seed44.png,5.198602,5.000916,0.197682,1548.639,1548.639,1946.0,generated,,P001_pv02_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_024622/P001_pv02_w512_h512_seed44.png,True,male,white,yes,yes,male,caucasian
20260723_024622,2026-07-23T02:47:52,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,42,P001_pv03_w512_h512_seed42,segmind-vega,segmind/Segmind-Vega,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_024622/P001_pv03_w512_h512_seed42.png,5.048616,4.892918,0.155693,1548.639,1548.639,1946.0,generated,,P001_pv03_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_024622/P001_pv03_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
