experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,image_filename,resolved_image_path,image_exists,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
20260723_190845,2026-07-23T19:09:21,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42.0,P001_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,13.754274,outputs/images/20260723_190845/P001_w512_h512_seed42.png,29.818232,28.933291,0.884389,29.818232,1.0,generation,29.835466,146.0,315.591,0.087664167,nvml_total_energy_counter,9.619651,35.658,30.794521,100.0,40.0,48.0,44.0,35.0,5103.887207,5354.0,5710.617188,97.404795,646.7,12.95,15.86,1100.980469,6834.742188,6829.902344,1189.515625,7176.113281,7145.882812,315.591,0.087664167,120.731506,5103.887207,generated,,P001_w512_h512_seed42.png,outputs/images/20260723_190845/P001_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_190845,2026-07-23T19:10:37,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43.0,P001_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,7.778428,outputs/images/20260723_190845/P001_w512_h512_seed43.png,24.042342,23.27145,0.770885,24.042342,1.0,generation,24.071647,109.0,274.43,0.076230556,nvml_total_energy_counter,11.52545,35.148,30.899083,100.0,44.0,51.0,46.0,35.0,5103.887207,5354.0,5710.617188,85.243119,608.5,9.97,9.19,1101.730469,6885.984375,6875.898438,1118.097656,7282.695312,7179.410156,274.43,0.076230556,149.735828,5103.887207,generated,,P001_w512_h512_seed43.png,outputs/images/20260723_190845/P001_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_190845,2026-07-23T19:11:45,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44.0,P001_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,7.277568,outputs/images/20260723_190845/P001_w512_h512_seed44.png,17.911886,17.477686,0.434193,17.911886,1.0,generation,17.925726,88.0,262.684,0.072967778,nvml_total_energy_counter,14.231273,35.636,33.170455,99.0,45.0,52.0,47.0,35.0,5103.887207,5354.0,5710.617188,89.989773,571.8,9.07,6.79,1102.898438,6947.660156,6887.273438,1099.347656,7162.480469,7152.15625,262.684,0.072967778,200.983866,5103.887207,generated,,P001_w512_h512_seed44.png,outputs/images/20260723_190845/P001_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_190845,2026-07-23T19:12:47,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45.0,P001_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,7.527859,outputs/images/20260723_190845/P001_w512_h512_seed45.png,25.262935,24.229781,1.033146,25.262935,1.0,generation,25.270526,117.0,292.668,0.081296667,nvml_total_energy_counter,11.712812,35.099,31.350427,97.0,46.0,52.0,47.0,35.0,5103.887207,5354.0,5710.617188,83.867521,535.9,11.04,8.81,1101.339844,6994.730469,6830.710938,1098.675781,7197.019531,7197.019531,292.668,0.081296667,142.501255,5103.887207,generated,,P001_w512_h512_seed45.png,outputs/images/20260723_190845/P001_w512_h512_seed45.png,True,male,black,yes,yes,male,african american
20260723_190845,2026-07-23T19:14:07,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46.0,P001_w512_h512_seed46,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,8.891017,outputs/images/20260723_190845/P001_w512_h512_seed46.png,22.496621,21.90574,0.590873,22.496621,1.0,generation,22.506378,107.0,286.925,0.079701389,nvml_total_energy_counter,12.52243,35.128,32.17757,100.0,46.0,53.0,48.0,35.0,5103.887207,5354.0,5710.617188,88.785047,522.3,10.22,9.16,1100.261719,6892.109375,6891.921875,1062.574219,7175.460938,7175.460938,286.925,0.079701389,160.024031,5103.887207,generated,,P001_w512_h512_seed46.png,outputs/images/20260723_190845/P001_w512_h512_seed46.png,True,male,white,yes,yes,male,white
20260723_190845,2026-07-23T19:15:19,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47.0,P001_w512_h512_seed47,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,7.994244,outputs/images/20260723_190845/P001_w512_h512_seed47.png,18.541679,17.186236,1.355435,18.541679,1.0,generation,18.559335,89.0,269.808,0.074946667,nvml_total_energy_counter,13.622034,35.04,34.179775,100.0,46.0,53.0,48.0,35.0,5103.887207,5354.0,5710.617188,88.14382,755.1,9.17,6.9,1101.179688,7171.027344,6853.523438,1110.835938,7487.222656,7195.078125,269.808,0.074946667,194.157173,5103.887207,generated,,P001_w512_h512_seed47.png,outputs/images/20260723_190845/P001_w512_h512_seed47.png,True,male,white,yes,yes,male,caucasian
20260723_190845,2026-07-23T19:16:24,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42.0,P002_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,8.633046,outputs/images/20260723_190845/P002_w512_h512_seed42.png,19.043487,18.073084,0.970395,19.043487,1.0,generation,19.065724,93.0,283.188,0.078663333,nvml_total_energy_counter,14.075914,35.251,34.924731,99.0,47.0,54.0,49.0,35.0,5103.887207,5354.0,5710.617188,93.619355,787.9,9.72,7.86,1100.242188,7087.132812,6849.402344,1082.785156,7335.695312,7198.480469,283.188,0.078663333,189.041014,5103.887207,generated,,P002_w512_h512_seed42.png,outputs/images/20260723_190845/P002_w512_h512_seed42.png,True,male,white,yes,yes,male,caucasian
20260723_190845,2026-07-23T19:17:29,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43.0,P002_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,9.48072,outputs/images/20260723_190845/P002_w512_h512_seed43.png,22.186707,21.660365,0.526332,22.186707,1.0,generation,22.201251,108.0,290.731,0.080758611,nvml_total_energy_counter,12.909556,34.857,35.222222,100.0,48.0,54.0,49.0,35.0,5103.887207,5354.0,5710.617188,99.183333,779.2,11.95,9.76,1100.230469,6979.65625,6841.863281,1090.132812,7257.824219,7187.679688,290.731,0.080758611,162.25932,5103.887207,generated,,P002_w512_h512_seed43.png,outputs/images/20260723_190845/P002_w512_h512_seed43.png,True,male,asian,yes,yes,male,indian
20260723_190845,2026-07-23T19:18:38,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44.0,P002_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,11.867004,outputs/images/20260723_190845/P002_w512_h512_seed44.png,19.034422,18.259695,0.77472,19.034422,1.0,generation,19.045509,92.0,260.515,0.072365278,nvml_total_energy_counter,12.957,35.132,38.478261,100.0,48.0,55.0,50.0,35.0,5103.887207,5354.0,5710.617188,93.657609,552.0,9.96,7.45,1099.652344,7029.78125,6851.183594,1096.898438,7198.171875,7198.136719,260.515,0.072365278,189.131037,5103.887207,generated,,P002_w512_h512_seed44.png,outputs/images/20260723_190845/P002_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_190845,2026-07-23T19:19:45,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45.0,P002_w512_h512_seed45,juggernautxl,RunDiffusion/Juggernaut-XL-v9,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,15.0,5.0,512.0,512.0,512x512,6.805697,outputs/images/20260723_190845/P002_w512_h512_seed45.png,18.968586,18.307297,0.661278,18.968586,1.0,generation,18.99312,94.0,272.886,0.075801667,nvml_total_energy_counter,13.837574,35.753,35.606383,100.0,48.0,55.0,50.0,35.0,5103.887207,5354.0,5710.617188,97.352128,607.4,9.66,8.88,1101.078125,7085.464844,6849.046875,1111.355469,7265.699219,7176.917969,272.886,0.075801667,189.787473,5103.887207,generated,,P002_w512_h512_seed45.png,outputs/images/20260723_190845/P002_w512_h512_seed45.png,True,male,asian,yes,yes,male,indian
