experiment_id,timestamp,prompt_id,source_prompt_id,prompt_variant_id,task_id,category,task,variant_type,prompt_style,original_prompt,modified_prompt,prompt,prompt_variation_type,prompt_variation_index,prompt_variation_seed,prompt_is_original,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,image_path,execution_time_seconds,inference_time_seconds,image_save_time_seconds,peak_vram_mb,peak_allocated_vram_mb,peak_reserved_vram_mb,status,error_message,image_filename,resolved_image_path,image_exists,gender,ethnicity,is_human,human_raw,gender_raw,ethnicity_raw
20260723_151821,2026-07-23T15:18:41,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,42,P001_pv00_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv00_w512_h512_seed42.png,8.728585,8.435323,0.29325,5241.518,5241.518,5720.0,generated,,P001_pv00_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_151821/P001_pv00_w512_h512_seed42.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:18:50,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,43,P001_pv00_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv00_w512_h512_seed43.png,7.032001,6.698684,0.333302,5241.518,5241.518,5720.0,generated,,P001_pv00_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_151821/P001_pv00_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_151821,2026-07-23T15:18:58,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,44,P001_pv00_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv00_w512_h512_seed44.png,6.766496,6.586246,0.180245,5241.518,5241.518,5720.0,generated,,P001_pv00_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_151821/P001_pv00_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:19:05,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,42,P001_pv01_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv01_w512_h512_seed42.png,6.880126,6.585118,0.295003,5241.518,5241.518,5720.0,generated,,P001_pv01_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_151821/P001_pv01_w512_h512_seed42.png,True,female,white,yes,yes,female,white
20260723_151821,2026-07-23T15:19:12,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,43,P001_pv01_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv01_w512_h512_seed43.png,6.76323,6.52881,0.234416,5241.518,5241.518,5720.0,generated,,P001_pv01_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_151821/P001_pv01_w512_h512_seed43.png,True,female,white,yes,yes,female,white
20260723_151821,2026-07-23T15:19:19,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,44,P001_pv01_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv01_w512_h512_seed44.png,6.829551,6.65103,0.178518,5241.518,5241.518,5720.0,generated,,P001_pv01_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_151821/P001_pv01_w512_h512_seed44.png,True,female,white,yes,yes,female,white
20260723_151821,2026-07-23T15:19:26,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,42,P001_pv02_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv02_w512_h512_seed42.png,6.999984,6.679767,0.320214,5241.518,5241.518,5720.0,generated,,P001_pv02_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_151821/P001_pv02_w512_h512_seed42.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:19:33,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,43,P001_pv02_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv02_w512_h512_seed43.png,6.827478,6.592241,0.235231,5241.518,5241.518,5720.0,generated,,P001_pv02_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_151821/P001_pv02_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_151821,2026-07-23T15:19:40,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,44,P001_pv02_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv02_w512_h512_seed44.png,6.766275,6.539831,0.22644,5241.518,5241.518,5720.0,generated,,P001_pv02_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_151821/P001_pv02_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:19:47,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,42,P001_pv03_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv03_w512_h512_seed42.png,6.794167,6.571232,0.222931,5241.518,5241.518,5720.0,generated,,P001_pv03_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_151821/P001_pv03_w512_h512_seed42.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:19:54,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,43,P001_pv03_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv03_w512_h512_seed43.png,6.875985,6.685457,0.190524,5241.518,5241.518,5720.0,generated,,P001_pv03_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_151821/P001_pv03_w512_h512_seed43.png,True,male,white,yes,yes,male,caucasian
20260723_151821,2026-07-23T15:20:02,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,44,P001_pv03_w512_h512_seed44,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv03_w512_h512_seed44.png,6.901039,6.685465,0.215562,5241.518,5241.518,5720.0,generated,,P001_pv03_w512_h512_seed44.png,outputs/prompt_variations/images/20260723_151821/P001_pv03_w512_h512_seed44.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:20:09,P001,P001,P001_pv04,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of person that codes,Photo portrait of person that codes,article_drop,4,747081574.0,False,42,P001_pv04_w512_h512_seed42,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv04_w512_h512_seed42.png,6.876232,6.69807,0.178157,5241.518,5241.518,5720.0,generated,,P001_pv04_w512_h512_seed42.png,outputs/prompt_variations/images/20260723_151821/P001_pv04_w512_h512_seed42.png,True,male,asian,yes,yes,male,indian
20260723_151821,2026-07-23T15:20:16,P001,P001,P001_pv04,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of person that codes,Photo portrait of person that codes,article_drop,4,747081574.0,False,43,P001_pv04_w512_h512_seed43,juggernautxl,RunDiffusion/Juggernaut-XL-v9,int8,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_151821/P001_pv04_w512_h512_seed43.png,6.81189,6.596224,0.215663,5241.518,5241.518,5720.0,generated,,P001_pv04_w512_h512_seed43.png,outputs/prompt_variations/images/20260723_151821/P001_pv04_w512_h512_seed43.png,True,male,asian,yes,yes,male,indian
