experiment_id,timestamp,prompt_id,task_id,category,task,variant_type,prompt_style,prompt,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,resolution,model_load_seconds,image_path,execution_time_seconds,inference_seconds,image_save_seconds,generation_total_seconds,monitoring_enabled,monitoring_phase,monitoring_duration_seconds,monitoring_sample_count,gpu_energy_j,gpu_energy_wh,gpu_energy_measurement_method,gpu_power_mean_w,gpu_power_max_w,gpu_utilization_mean_percent,gpu_utilization_max_percent,gpu_temperature_start_c,gpu_temperature_max_c,gpu_temperature_end_c,gpu_power_limit_w,torch_peak_allocated_vram_mb,torch_peak_reserved_vram_mb,nvml_peak_used_vram_mb,process_cpu_mean_percent,process_cpu_max_percent,process_cpu_user_seconds,process_cpu_system_seconds,process_rss_start_mb,process_rss_peak_mb,process_rss_end_mb,system_ram_used_start_mb,system_ram_used_peak_mb,system_ram_used_end_mb,joules_per_image,wh_per_image,images_per_hour,peak_vram_mb,status,error_message,_generation_source_file,generation_order,successful_generation_order
20260723_195753,2026-07-23T19:57:59,P001,T001,role,codes,general,general,Photo portrait of a person that codes,42,P001_w512_h512_seed42,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P001_w512_h512_seed42.png,11.973802,11.427395,0.546402,11.973802,True,generation,12.099501,57,226.088,0.062802222,nvml_total_energy_counter,18.137807,35.043,38.807018,100.0,56.0,62.0,57.0,35.0,2689.668945,2864.0,3220.617188,100.812281,790.0,6.42,5.14,1076.355469,5941.195312,5804.277344,1062.894531,5862.09375,5804.601562,226.088,0.062802222,300.656384,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,1,1.0
20260723_195753,2026-07-23T19:58:19,P001,T001,role,codes,general,general,Photo portrait of a person that codes,43,P001_w512_h512_seed43,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P001_w512_h512_seed43.png,8.791798,8.232135,0.559644,8.791798,True,generation,8.803857,44,198.76,0.055211111,nvml_total_energy_counter,19.634727,35.075,54.590909,99.0,55.0,61.0,57.0,35.0,2689.668945,2864.0,3220.617188,93.397727,302.1,5.95,2.29,5962.304688,6885.964844,6846.410156,5916.433594,6949.636719,6916.710938,198.76,0.055211111,409.47256,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,2,2.0
20260723_195753,2026-07-23T19:58:28,P001,T001,role,codes,general,general,Photo portrait of a person that codes,44,P001_w512_h512_seed44,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P001_w512_h512_seed44.png,6.406004,6.131039,0.27496,6.406004,True,generation,6.411272,33,170.089,0.047246944,nvml_total_energy_counter,24.601455,35.073,67.212121,100.0,57.0,62.0,61.0,35.0,2689.668945,2864.0,3220.617188,101.615152,327.4,5.2,1.22,6846.652344,6846.652344,6800.792969,6916.949219,6916.949219,6882.636719,170.089,0.047246944,561.972816,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,3,3.0
20260723_195753,2026-07-23T19:58:35,P001,T001,role,codes,general,general,Photo portrait of a person that codes,45,P001_w512_h512_seed45,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P001_w512_h512_seed45.png,6.118686,5.948272,0.170408,6.118686,True,generation,6.131599,31,163.143,0.0453175,nvml_total_energy_counter,25.130903,35.006,74.516129,100.0,58.0,63.0,63.0,35.0,2689.668945,2864.0,3220.617188,108.474194,370.8,5.51,1.23,6800.796875,6800.882812,6748.785156,6882.117188,6882.117188,6837.449219,163.143,0.0453175,588.361595,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,4,4.0
20260723_195753,2026-07-23T19:58:42,P001,T001,role,codes,general,general,Photo portrait of a person that codes,46,P001_w512_h512_seed46,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P001_w512_h512_seed46.png,6.146077,5.892622,0.253451,6.146077,True,generation,6.158791,32,166.746,0.046318333,nvml_total_energy_counter,25.589344,35.077,69.84375,99.0,58.0,63.0,59.0,35.0,2689.668945,2864.0,3220.617188,110.48125,506.5,5.7,1.31,6748.785156,6779.980469,6779.898438,6837.449219,6871.402344,6868.574219,166.746,0.046318333,585.739515,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,5,5.0
20260723_195753,2026-07-23T19:58:49,P001,T001,role,codes,general,general,Photo portrait of a person that codes,47,P001_w512_h512_seed47,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P001_w512_h512_seed47.png,6.309061,6.159359,0.149698,6.309061,True,generation,6.316462,32,174.962,0.048600556,nvml_total_energy_counter,25.676813,35.089,69.71875,99.0,59.0,63.0,62.0,35.0,2689.668945,2864.0,3220.617188,99.665625,281.6,5.06,1.32,6779.898438,6801.480469,6801.398438,6868.574219,6890.828125,6887.238281,174.962,0.048600556,570.607904,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,6,6.0
20260723_195753,2026-07-23T19:58:55,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,42,P002_w512_h512_seed42,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P002_w512_h512_seed42.png,6.10626,5.945288,0.160967,6.10626,True,generation,6.115068,31,170.603,0.047389722,nvml_total_energy_counter,25.840581,35.006,69.774194,100.0,59.0,64.0,63.0,35.0,2689.668945,2864.0,3220.617188,103.019355,262.1,5.17,1.18,6801.585938,6861.289062,6861.207031,6886.761719,6950.109375,6949.320312,170.603,0.047389722,589.558926,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,7,7.0
20260723_195753,2026-07-23T19:59:02,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,43,P002_w512_h512_seed43,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P002_w512_h512_seed43.png,6.12231,5.833573,0.288732,6.12231,True,generation,6.129541,32,167.264,0.046462222,nvml_total_energy_counter,25.711281,35.428,70.0625,99.0,59.0,64.0,60.0,35.0,2689.668945,2864.0,3220.617188,103.0,329.3,5.24,1.13,6861.207031,6894.152344,6893.984375,6948.816406,6993.960938,6989.339844,167.264,0.046462222,588.013368,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,8,8.0
20260723_195753,2026-07-23T19:59:09,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,44,P002_w512_h512_seed44,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P002_w512_h512_seed44.png,6.037378,5.84132,0.196049,6.037378,True,generation,6.059009,31,163.51,0.045419444,nvml_total_energy_counter,25.600677,35.287,76.0,99.0,59.0,64.0,62.0,35.0,2689.668945,2864.0,3220.617188,108.358065,378.9,5.47,1.1,6893.988281,6894.074219,6768.835938,6989.109375,6989.355469,6864.464844,163.51,0.045419444,596.285365,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,9,9.0
20260723_195753,2026-07-23T19:59:16,P002,T001,role,codes,se,se,Photo portrait of a Software Engineer that codes,45,P002_w512_h512_seed45,ssd-1b,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,512x512,4.965596,outputs/images/20260723_195753/P002_w512_h512_seed45.png,6.046726,5.833461,0.213259,6.046726,True,generation,6.055963,31,164.916,0.04581,nvml_total_energy_counter,25.952645,34.989,72.741935,100.0,60.0,64.0,64.0,35.0,2689.668945,2864.0,3220.617188,102.709677,340.0,5.02,1.23,6768.84375,6793.460938,6793.378906,6864.464844,6889.613281,6888.925781,164.916,0.04581,595.36349,2689.668945,generated,,outputs/logs/20260723_195753_generation_metadata.csv,10,10.0
