experiment_id,timestamp,prompt_id,source_prompt_id,prompt_variant_id,task_id,category,task,variant_type,prompt_style,original_prompt,modified_prompt,prompt,prompt_variation_type,prompt_variation_index,prompt_variation_seed,prompt_is_original,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,image_path,execution_time_seconds,inference_time_seconds,image_save_time_seconds,peak_vram_mb,peak_allocated_vram_mb,peak_reserved_vram_mb,status,error_message
20260722_211429,2026-07-22T21:14:36,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,42,P001_pv00_w512_h512_seed42,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv00_w512_h512_seed42.png,14.984893,14.598653,0.386231,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:14:54,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,43,P001_pv00_w512_h512_seed43,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv00_w512_h512_seed43.png,16.055435,15.913083,0.142346,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:15:11,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,44,P001_pv00_w512_h512_seed44,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv00_w512_h512_seed44.png,8.704959,8.518764,0.186191,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:15:20,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,42,P001_pv01_w512_h512_seed42,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv01_w512_h512_seed42.png,7.164182,6.968466,0.195712,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:15:27,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,43,P001_pv01_w512_h512_seed43,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv01_w512_h512_seed43.png,6.734196,6.429151,0.305039,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:15:34,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,44,P001_pv01_w512_h512_seed44,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv01_w512_h512_seed44.png,6.738245,6.53679,0.201452,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:15:41,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,42,P001_pv02_w512_h512_seed42,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv02_w512_h512_seed42.png,6.846642,6.606537,0.240102,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:15:48,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,43,P001_pv02_w512_h512_seed43,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv02_w512_h512_seed43.png,6.456503,6.279898,0.176601,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:16:24,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,44,P001_pv02_w512_h512_seed44,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv02_w512_h512_seed44.png,6.497499,6.26937,0.228126,2689.669,2689.669,2864.0,generated,
20260722_211429,2026-07-22T21:16:31,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,42,P001_pv03_w512_h512_seed42,ssd-1b-prompt-variations,segmind/SSD-1B,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260722_211429/P001_pv03_w512_h512_seed42.png,6.414223,6.225158,0.189062,2689.669,2689.669,2864.0,generated,
